Blood(T_helper_naive_cells)	Brain(Germinal_Matrix)	Heart(Right_Atrium)
ABCC4	2.777	0.789	0.955
ABCC5	5.283	13.004	11.903
ABCC6	0.571	0.051	1.238
ABCC6P1	0.008	0.0	0.351
ABCC8	0.0	3.307	1.506
ABCC9	0.026	2.242	8.202
ABCD1	4.243	7.395	10.829
ABCD2	6.916	2.387	4.864
ABCD3	5.763	7.734	12.261
ABCD4	15.049	14.012	5.35
ABCE1	23.438	8.7	9.862
ABCF1	22.302	14.26	20.047
ABCF2	10.497	7.978	15.414
ABCF3	21.156	10.124	17.327
ABCG1	6.213	4.01	3.237
ABCG2	0.149	2.419	0.969
ABCG4	0.049	1.4	0.881
ABCG5	0.023	0.023	0.003
ABCG8	0.035	0.109	0.021
ABHD1	1.163	0.825	3.451
ABHD10	14.207	16.776	20.799
ABHD11	6.318	4.429	17.856
ABHD12	8.553	28.192	16.667
ABHD12B	0.012	0.016	0.016
ABHD13	14.202	1.633	4.706
ABHD14A	9.215	12.16	16.922
ABHD14A-ACY1	5.739	7.343	18.74
ABHD14B	43.361	3.051	11.91
ABHD15	5.653	1.09	5.966
ABHD16A	8.512	20.669	10.572
ABHD16B	3.603	0.438	0.559
ABHD17A	25.057	26.064	47.501
ABHD17B	18.168	7.193	4.362
ABHD17C	0.327	7.605	2.305
ABHD18	9.952	2.289	2.934
ABHD2	13.615	14.141	22.732
ABHD3	24.081	8.098	5.102
ABHD4	4.167	39.901	19.998
ABHD5	2.263	3.707	6.164
ABHD6	0.947	3.618	5.8
ABHD8	5.375	24.682	16.191
ABI1	42.103	27.026	8.958
ABI2	11.151	45.74	17.378
ABI3	2.566	1.653	4.638
ABI3BP	0.049	1.454	4.769
ABL1	16.969	48.534	20.144
ABL2	11.386	6.053	2.937
ABLIM1	114.525	4.118	113.338
ABLIM2	0.799	2.818	1.565
ABLIM3	0.0	5.585	46.037
ABR	24.318	43.547	48.279
ABRA	0.244	0.0	91.198
ABRACL	29.599	15.162	6.218
ABT1	41.024	12.523	12.787
ABTB1	37.828	8.42	14.036
ABTB2	0.843	8.252	4.159
ACAA1	13.893	8.265	25.432
ACAA2	16.056	40.456	124.564
ACACB	6.938	2.896	36.98
ACAD10	10.339	5.549	7.111
ACAD11	19.286	7.55	11.183
ACAD8	9.541	5.288	8.021
ACAD9	9.077	12.496	16.753
ACADL	0.02	1.245	1.662
ACADM	6.226	10.895	53.038
ACADS	5.482	3.245	50.408
ACADSB	14.31	2.817	19.835
ACADVL	69.597	40.471	644.949
ACAN	0.102	0.102	0.185
ACAP1	174.842	0.446	1.588
ACAP2	20.086	7.033	3.399
ACAP3	11.332	33.426	15.359
ACAT1	5.94	11.988	58.911
ACAT2	10.184	13.508	3.811
ACBD3	18.455	13.048	11.245
ACBD4	12.833	3.708	7.431
ACBD5	13.211	14.242	16.089
ACBD7	0.199	7.066	0.031
ACCS	31.5	1.454	7.494
ACCSL	0.023	0.086	0.0
ACD	10.545	46.623	6.92
ACE	0.241	0.965	2.31
ACE2	0.038	0.104	3.271
ACER1	9.796	0.052	0.003
ACER2	1.908	1.372	3.691
ACER3	3.301	6.01	4.037
ACHE	0.0	4.088	6.701
ACIN1	70.277	52.965	22.384
ACKR1	0.0	8.89	8.449
ACKR2	0.209	0.077	0.361
ACKR3	0.65	7.985	20.836
ACKR4	2.862	0.05	5.334
ACLY	25.341	52.586	26.497
ACMSD	0.495	0.024	0.002
ACO1	3.637	9.725	27.725
ACO2	28.793	58.547	338.954
ACOD1	0.02	0.0	0.0
ACOT1	3.225	4.413	33.521
ACOT11	0.132	0.663	6.534
ACOT12	0.302	0.06	0.009
ACOT13	5.329	4.627	31.591
ACOT2	7.554	5.967	57.039
ACOT4	0.426	0.466	0.679
ACOT6	0.0	0.0	0.112
ACOT7	1.404	27.505	2.183
ACOT8	10.112	6.891	11.984
ACOT9	3.233	3.044	14.828
ACOX1	5.406	10.252	17.498
ACOX2	0.034	0.866	9.617
ACOX3	4.388	5.769	16.892
ACOXL	0.022	0.0	0.012
ACP1	32.224	23.995	24.225
ACP2	5.058	12.482	14.886
ACP5	12.599	0.251	2.267
ACP6	6.196	3.319	6.833
ACP7	0.007	0.0	0.0
ACPP	0.241	0.079	0.236
ACPT	1.381	0.006	0.0
ACR	0.0	0.033	0.36
ACRBP	8.591	1.582	0.263
ACRV1	0.125	0.16	0.017
ACSBG1	4.859	1.359	1.242
ACSBG2	0.065	0.013	0.012
ACSF2	3.204	1.558	21.797
ACSF3	15.202	4.212	5.446
ACSL1	4.221	3.16	58.496
ACSL3	6.105	8.591	10.604
ACSL4	8.534	5.723	15.876
ACSL5	18.434	0.41	5.809
ACSL6	3.682	1.603	0.899
ACSM1	0.255	0.013	0.158
ACSM2A	0.0	0.01	0.012
ACSM2B	0.0	0.0	0.023
ACSM3	4.457	0.056	1.13
ACSM4	0.0	0.0	0.0
ACSM5	0.0	0.474	1.57
ACSM6	0.074	0.002	0.012
ACSS1	11.7	7.79	11.656
ACSS2	10.549	5.393	32.995
ACSS3	0.0	1.911	7.807
ACTA1	0.119	1.762	1208.59
ACTA2	2.56	5.144	269.722
ACTB	743.412	2761.6	531.253
ACTBL2	0.0	0.0	0.0
ACTC1	0.012	1.546	4201.82
ACTG1	858.114	7042.14	382.12
ACTG2	0.088	0.131	13.066
ACTL10	0.125	0.105	0.297
ACTL6A	12.574	16.643	8.981
ACTL6B	0.066	73.56	0.019
ACTL7A	0.177	0.0	0.0
ACTL7B	0.036	0.0	0.019
ACTL8	0.0	0.038	0.0
ACTL9	0.015	0.0	0.0
ACTN1	63.716	11.825	27.949
ACTN2	0.004	10.666	482.932
ACTN4	13.822	67.163	50.873
ACTR10	10.842	22.907	32.208
ACTR1A	12.178	75.678	72.739
ACTR1B	48.261	23.576	44.702
ACTR2	53.692	24.195	40.432
ACTR3	26.8	20.55	15.783
ACTR3B	1.01	4.238	1.022
ACTR3C	0.72	0.099	0.531
ACTR5	16.135	9.189	4.007
ACTR6	9.694	10.51	8.328
ACTR8	6.042	9.377	8.753
ACTRT1	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0
ACTRT3	0.14	0.097	1.198
ACVR1	8.385	18.346	15.179
ACVR1B	6.298	22.994	12.787
ACVR1C	4.323	1.733	0.22
ACVR2A	3.641	6.628	2.521
ACVR2B	1.566	3.54	0.451
ACVRL1	0.0	0.867	12.222
ACY1	3.689	4.39	11.296
ACY3	0.784	1.751	0.0
ACYP1	5.879	22.98	6.632
ACYP2	1.824	4.334	33.166
ADA	13.601	0.972	6.936
ADAD1	0.0	0.0	0.0
ADAD2	0.452	0.067	1.683
ADAL	1.28	1.925	14.602
ADAM10	21.307	8.487	10.799
ADAM11	0.626	2.965	24.433
ADAM12	0.178	0.465	0.139
ADAM15	2.959	12.249	20.175
ADAM17	12.781	9.603	6.895
ADAM18	0.0	0.0	0.0
ADAM19	1.912	5.23	9.175
ADAM2	0.0	0.0	0.0
ADAM20	0.103	0.125	0.178
ADAM21	0.112	0.023	0.318
ADAM22	0.854	5.217	0.371
ADAM23	0.761	4.562	17.181
ADAM28	0.45	0.878	0.136
ADAM29	0.007	0.006	0.0
ADAM30	0.0	0.0	0.0
ADAM32	0.0	0.167	0.114
ADAM33	0.0	3.062	17.459
ADAM7	0.0	0.0	0.0
ADAM8	10.573	1.004	0.368
ADAM9	0.717	7.338	11.126
ADAMDEC1	0.0	0.0	0.009
ADAMTS1	0.0	0.983	77.358
ADAMTS10	22.865	57.879	6.411
ADAMTS12	0.004	0.452	0.225
ADAMTS13	1.752	2.315	3.149
ADAMTS14	0.005	0.113	0.173
ADAMTS15	0.035	0.214	15.799
ADAMTS16	0.344	0.2	0.01
ADAMTS17	2.403	1.407	0.46
ADAMTS18	0.0	0.172	0.0
ADAMTS19	0.0	0.097	0.29
ADAMTS2	0.039	0.666	5.403
ADAMTS20	0.0	0.07	0.0
ADAMTS3	0.007	0.622	0.777
ADAMTS4	0.442	0.725	31.732
ADAMTS5	0.0	0.206	1.587
ADAMTS6	1.856	1.829	0.208
ADAMTS7	0.0	14.955	38.554
ADAMTS8	0.141	0.151	0.712
ADAMTS9	0.0	1.002	3.592
ADAMTSL1	0.015	1.002	0.421
ADAMTSL2	0.507	1.143	20.263
ADAMTSL3	0.0	0.178	4.656
ADAMTSL4	3.38	1.233	12.568
ADAMTSL4-AS1	4.158	0.557	2.173
ADAMTSL5	3.914	0.068	8.36
ADAP1	1.106	3.065	3.585
ADAP2	0.171	2.014	2.393
ADAR	119.401	42.008	17.502
ADARB1	11.687	2.222	4.76
ADARB2	2.046	2.597	0.36
ADAT1	17.252	4.646	1.745
ADAT2	17.278	0.925	0.968
ADAT3	1.23	3.471	1.481
ADCK1	3.791	2.656	3.343
ADCK2	11.393	8.834	8.661
ADCK5	4.923	6.27	4.321
ADCY1	0.032	12.508	1.889
ADCY10	0.107	0.144	0.071
ADCY2	0.001	4.476	0.057
ADCY3	6.247	9.363	6.235
ADCY4	1.834	0.275	11.274
ADCY5	0.148	9.036	72.779
ADCY6	0.041	11.775	29.291
ADCY7	53.883	2.325	3.814
ADCY8	0.0	1.343	0.055
ADCY9	2.436	3.592	12.726
ADCYAP1	0.012	0.079	0.041
ADCYAP1R1	0.0	14.649	0.8
ADD1	37.801	51.851	27.43
ADD2	3.754	40.565	0.202
ADD3	136.813	16.803	27.581
ADD3-AS1	0.635	0.168	0.212
ADGB	0.006	0.017	0.006
ADGRA1	0.0	13.17	0.016
ADGRA2	2.156	1.2	10.614
ADGRA3	3.155	15.257	7.924
ADGRB1	1.085	11.173	0.252
ADGRB2	0.257	25.776	8.514
ADGRB3	0.0	12.395	0.629
ADGRD1	0.031	0.273	11.664
ADGRD2	0.0	0.0	0.018
ADGRE1	8.123	0.0	0.017
ADGRE2	1.349	0.03	0.271
ADGRE3	0.042	0.0	0.0
ADGRE5	133.207	1.164	13.899
ADGRF1	0.0	0.0	0.0
ADGRF2	0.019	0.004	0.0
ADGRF3	1.161	0.159	0.066
ADGRF4	0.0	0.01	0.111
ADGRF5	0.0	1.849	23.609
ADGRG1	0.501	244.503	9.152
ADGRG2	0.037	0.032	0.315
ADGRG3	1.172	1.064	0.133
ADGRG4	0.0	0.014	0.007
ADGRG5	1.07	0.014	0.041
ADGRG6	0.174	1.383	3.526
ADGRG7	0.0	0.0	0.0
ADGRL1	21.106	45.919	14.454
ADGRL2	0.0	4.615	16.522
ADGRL3	0.0	15.139	0.394
ADGRL4	0.0	1.198	10.934
ADGRV1	0.051	23.945	0.009
ADH1A	0.213	0.01	3.473
ADH1B	0.003	0.0	107.712
ADH4	0.084	0.012	0.335
ADH5	17.707	35.771	43.559
ADH6	0.597	0.0	0.008
ADH7	0.0	0.0	0.026
ADHFE1	6.98	5.336	16.706
ADI1	15.396	5.819	65.258
ADIG	0.0	0.0	0.01
ADIPOQ	0.0	0.0	10.145
ADIPOR1	53.822	38.82	52.354
ADIPOR2	6.454	11.154	20.283
ADIRF	3.65	2.537	128.492
ADK	11.816	12.103	19.644
ADM	0.047	6.186	84.798
ADM2	0.493	0.043	0.064
ADM5	4.006	2.926	0.835
ADNP	45.927	36.366	13.012
ADNP2	29.696	5.472	4.38
ADO	9.422	8.597	13.5
ADORA1	0.0	2.555	18.207
ADORA2A	6.467	8.879	3.835
ADORA2A-AS1	1.554	0.047	1.087
ADORA2B	1.334	3.271	0.425
ADPGK	52.423	16.401	10.417
ADPRH	0.085	0.24	5.08
ADPRHL1	0.263	1.329	202.072
ADPRHL2	21.203	19.64	19.399
ADPRM	72.62	12.875	3.269
ADRA1A	0.0	0.312	0.262
ADRA1B	0.0	2.463	1.631
ADRA1D	0.0	0.726	0.06
ADRA2A	0.011	1.926	0.92
ADRA2C	0.0	2.308	5.032
ADRB1	0.0	1.407	37.232
ADRB2	0.305	1.23	4.773
ADRB3	0.0	0.0	0.159
ADRM1	15.473	25.561	59.068
ADSL	21.791	14.167	10.529
ADSS	29.617	9.87	4.948
ADSSL1	1.233	0.753	47.076
ADTRP	10.233	0.018	0.042
AEBP1	10.942	11.644	38.405
AEBP2	14.087	4.078	9.104
AEN	18.062	1.027	2.421
AES	504.793	684.97	1057.62
AFAP1	1.264	30.21	6.752
AFAP1L1	0.302	1.024	23.171
AFAP1L2	0.295	1.483	2.606
AFDN	0.689	56.842	8.558
AFF1	25.283	3.839	16.178
AFF2	0.793	2.617	0.43
AFF3	8.131	13.51	2.731
AFF4	41.207	24.337	7.578
AFG3L2	20.872	7.093	56.402
AFM	0.0	0.0	0.0
AFMID	0.351	3.206	6.991
AFP	0.0	0.0	0.014
AFTPH	15.374	10.179	5.222
AGA	10.97	2.153	4.715
AGAP1	0.232	9.196	5.776
AGAP2	19.07	23.9	1.697
AGAP2-AS1	16.504	14.533	2.317
AGAP3	2.159	19.531	10.02
AGAP4	9.566	8.798	2.468
AGAP5	7.389	5.588	2.675
AGAP6	26.146	10.796	4.411
AGAP9	5.985	3.717	1.883
AGBL2	2.477	0.355	0.09
AGBL3	0.652	0.263	0.258
AGBL4	0.017	0.33	0.429
AGBL5	10.58	17.061	2.994
AGER	15.956	4.545	1.661
AGFG1	24.899	22.286	8.797
AGFG2	3.433	1.609	6.005
AGGF1	12.436	7.13	7.9
AGK	13.408	6.752	11.461
AGL	8.352	4.049	21.685
AGMAT	5.465	0.141	0.078
AGMO	0.0	0.043	0.263
AGO1	14.847	18.254	7.355
AGO2	16.348	11.642	5.16
AGO3	9.222	8.832	2.603
AGO4	9.773	11.884	8.291
AGPAT1	14.111	75.525	34.114
AGPAT2	2.678	2.885	120.395
AGPAT3	11.677	7.641	16.748
AGPAT4	3.469	18.651	1.118
AGPAT5	5.429	13.193	2.531
AGPS	8.369	3.675	4.888
AGR2	0.0	0.01	0.1
AGR3	0.0	0.0	0.01
AGRN	1.989	32.81	5.935
AGRP	0.387	0.092	0.06
AGT	0.009	42.058	126.658
AGTPBP1	28.968	18.261	10.203
AGTR1	0.0	0.041	14.662
AGTR2	0.0	0.0	0.28
AGTRAP	11.387	5.215	9.373
AGXT	0.0	0.0	0.064
AGXT2	0.004	0.0	0.006
AHCTF1	18.518	4.916	5.957
AHCY	12.865	25.109	45.72
AHCYL1	9.308	38.071	26.981
AHCYL2	8.187	9.924	1.538
AHDC1	6.191	17.451	16.908
AHI1	2.624	4.703	2.333
AHNAK	60.185	2.298	75.27
AHNAK2	0.019	0.45	0.723
AHR	16.451	0.331	8.956
AHRR	0.394	0.745	0.466
AHSA1	10.711	42.417	76.605
AHSA2	82.825	15.474	11.991
AHSG	0.0	0.134	0.063
AHSP	0.0	7.139	0.0
AICDA	0.0	0.0	0.0
AIDA	13.607	14.73	20.421
AIF1	30.691	7.352	5.657
AIF1L	0.024	18.07	10.547
AIFM1	5.837	5.874	72.926
AIFM2	2.123	0.93	7.795
AIFM3	0.112	3.512	0.45
AIG1	3.802	6.803	22.005
AIM1	38.961	0.019	0.507
AIM1L	1.319	0.121	0.011
AIM2	0.19	2.324	0.042
AIMP1	37.78	12.576	19.081
AIMP2	5.426	7.757	21.797
AIP	91.028	67.47	50.978
AIPL1	0.0	0.019	0.0
AIRE	0.085	0.039	0.042
AJAP1	0.402	1.428	0.062
AJUBA	0.222	1.794	3.444
AK1	7.523	19.363	182.095
AK2	14.103	11.247	26.026
AK3	29.525	21.855	73.638
AK4	0.028	7.804	24.052
AK5	14.426	2.224	0.264
AK6	29.931	23.702	27.828
AK7	0.054	0.203	0.286
AK8	0.05	0.798	0.235
AK9	2.703	3.037	2.42
AKAIN1	0.009	0.094	0.03
AKAP1	15.148	8.227	91.596
AKAP10	25.602	7.056	5.629
AKAP11	20.442	10.9	8.913
AKAP12	0.054	20.677	15.187
AKAP13	37.384	3.905	28.166
AKAP14	0.437	0.263	0.0
AKAP17A	67.804	12.208	17.021
AKAP2	6.936	2.68	46.653
AKAP3	0.572	0.081	3.233
AKAP4	0.0	0.0	0.0
AKAP5	2.28	1.299	0.034
AKAP6	0.616	21.547	13.279
AKAP7	7.306	5.054	4.81
AKAP8	46.102	8.844	8.982
AKAP8L	62.413	123.623	47.337
AKAP9	25.613	13.885	6.3
AKIP1	1.542	6.49	12.938
AKIRIN1	56.783	13.312	35.572
AKIRIN2	29.686	84.906	36.046
AKNA	103.688	13.112	3.336
AKNAD1	0.048	4.331	0.114
AKR1A1	15.701	41.579	26.354
AKR1B1	28.484	37.743	75.429
AKR1B10	0.0	0.0	0.09
AKR1B15	0.0	0.0	0.036
AKR1B1P6	0.0	0.0	0.0
AKR1C1	1.313	14.582	22.986
AKR1C2	1.072	4.917	9.283
AKR1C3	1.534	1.835	16.169
AKR1C4	0.172	0.125	0.024
AKR1D1	0.0	0.009	0.0
AKR1E2	4.641	0.486	1.72
AKR7A2	12.061	40.337	18.927
AKR7A3	2.002	2.561	0.376
AKT1	15.159	31.389	27.248
AKT1S1	8.92	7.873	15.557
AKT2	30.545	17.26	21.259
AKT3	11.974	44.332	5.49
AKTIP	56.848	11.136	34.703
ALAD	11.253	13.158	25.148
ALAS1	7.519	18.079	83.892
ALAS2	0.284	12.769	0.011
ALB	0.374	0.17	0.689
ALCAM	1.07	5.614	3.693
ALDH16A1	12.876	3.239	8.306
ALDH18A1	9.46	17.442	6.725
ALDH1A1	0.128	0.099	43.654
ALDH1A2	0.0	0.044	5.962
ALDH1A3	0.028	0.043	4.204
ALDH1B1	0.505	6.362	12.235
ALDH1L1	0.067	1.206	2.558
ALDH1L2	0.081	6.755	1.15
ALDH2	3.156	45.748	379.469
ALDH3A1	0.016	0.032	0.03
ALDH3A2	15.662	25.727	18.394
ALDH3B2	0.0	0.0	0.0
ALDH4A1	0.73	12.666	23.379
ALDH5A1	8.884	7.894	8.036
ALDH6A1	2.796	11.664	14.8
ALDH7A1	0.301	12.46	9.074
ALDH8A1	1.484	1.337	0.232
ALDH9A1	13.77	28.495	30.713
ALDOA	134.606	356.422	1310.38
ALDOB	0.035	0.0	0.658
ALDOC	18.916	131.013	203.821
ALG1	6.204	4.767	8.315
ALG10	3.939	1.222	0.565
ALG10B	3.393	1.013	0.553
ALG11	6.699	2.371	1.938
ALG12	18.335	19.436	19.552
ALG13	20.138	4.901	4.434
ALG14	1.65	5.386	8.427
ALG1L	1.368	1.263	0.308
ALG2	8.911	5.536	9.596
ALG3	10.572	7.415	7.446
ALG5	8.107	6.594	10.305
ALG6	7.316	1.918	2.155
ALG8	6.632	8.53	8.46
ALG9	10.113	13.815	3.341
ALK	0.101	0.78	0.017
ALKAL1	0.0	0.0	0.0
ALKAL2	0.189	0.181	0.251
ALKBH1	5.704	8.2	6.489
ALKBH2	5.879	9.028	4.767
ALKBH3	9.419	6.627	6.748
ALKBH4	4.367	6.487	6.126
ALKBH5	32.127	41.168	77.108
ALKBH6	10.811	3.592	3.208
ALKBH7	21.806	38.506	78.56
ALKBH8	6.616	2.397	2.922
ALLC	0.0	0.038	0.463
ALMS1	9.845	15.569	1.227
ALOX12	2.249	0.102	0.142
ALOX12-AS1	5.133	3.261	3.315
ALOX12B	0.425	0.171	0.027
ALOX15	0.109	0.245	0.033
ALOX15B	0.0	0.536	0.583
ALOX5	1.624	0.788	2.54
ALOX5AP	24.833	3.331	1.05
ALOXE3	1.317	1.073	0.008
ALPI	0.009	0.0	0.0
ALPK1	6.761	0.161	0.952
ALPK2	0.013	0.019	48.291
ALPK3	0.098	0.9	68.995
ALPL	0.0	12.677	11.342
ALPP	0.027	0.0	0.0
ALPPL2	0.0	0.0	0.0
ALS2	3.619	5.674	6.681
ALS2CL	16.043	0.197	8.802
ALS2CR11	0.091	0.023	0.575
ALS2CR12	1.92	0.202	3.063
ALX1	0.0	0.039	0.0
ALX3	2.917	0.204	0.091
ALX4	0.095	0.135	0.067
ALYREF	23.826	30.768	12.43
AMACR	2.046	2.036	9.284
AMBN	0.0	48.244	0.0
AMBP	0.004	0.03	0.158
AMBRA1	10.666	7.542	5.713
AMD1	56.595	14.64	45.644
AMDHD1	1.485	0.123	0.374
AMDHD2	13.415	4.706	5.641
AMELX	0.0	0.0	0.027
AMELY	0.0	0.05	0.0
AMER1	2.722	2.989	2.758
AMER2	0.008	15.422	0.004
AMER3	0.0	3.384	0.01
AMFR	34.193	49.086	36.581
AMH	0.465	0.37	0.294
AMHR2	0.032	0.0	0.165
AMIGO1	24.675	4.914	5.749
AMIGO2	9.567	1.832	4.576
AMIGO3	12.304	3.36	5.851
AMMECR1	6.655	3.227	0.681
AMMECR1L	8.05	7.949	6.074
AMN	1.873	0.632	0.52
AMN1	7.66	8.81	5.09
AMOT	0.434	7.759	2.056
AMOTL1	0.234	14.185	14.124
AMOTL2	0.0	29.239	18.808
AMPD1	0.05	0.0	0.0
AMPD2	14.099	17.579	2.864
AMPD3	7.246	0.628	2.286
AMPH	0.202	7.064	0.718
AMT	13.521	3.013	9.996
AMTN	0.0	0.0	0.0
AMY1A	2.096	0.48	0.434
AMY1B	0.212	0.033	0.014
AMY1C	3.109	0.675	0.588
AMY2A	5.564	0.949	1.511
AMY2B	18.023	5.092	6.814
AMZ1	0.389	0.642	0.299
AMZ2	29.462	43.375	49.941
ANAPC1	8.299	3.312	1.301
ANAPC10	4.126	5.048	5.159
ANAPC11	9.203	78.082	95.817
ANAPC13	14.884	28.612	47.622
ANAPC15	13.291	20.526	18.836
ANAPC16	50.572	15.524	134.717
ANAPC2	32.652	12.299	13.108
ANAPC4	16.186	6.353	3.822
ANAPC5	25.637	14.347	10.242
ANAPC7	10.529	11.162	12.252
ANG	0.212	12.781	10.33
ANGEL1	13.281	11.43	10.975
ANGEL2	19.198	4.452	4.447
ANGPT1	0.038	1.061	2.23
ANGPT2	0.662	3.105	1.934
ANGPT4	0.016	0.014	0.214
ANGPTL1	0.303	4.016	15.227
ANGPTL2	0.018	6.381	23.738
ANGPTL3	0.053	0.0	0.007
ANGPTL4	0.294	4.754	23.799
ANGPTL5	0.009	0.024	2.443
ANGPTL6	20.426	0.457	0.27
ANGPTL7	0.247	0.025	3.845
ANGPTL8	0.0	0.034	3.564
ANHX	0.0	0.0	0.0
ANK1	0.464	0.572	26.205
ANK2	0.013	38.796	16.925
ANK3	5.253	3.662	8.233
ANKAR	2.711	1.172	0.919
ANKDD1A	1.75	2.266	1.314
ANKDD1B	0.236	0.146	0.046
ANKEF1	1.836	0.514	0.968
ANKFN1	0.0	5.913	0.028
ANKFY1	30.269	23.581	6.533
ANKH	21.994	9.953	17.458
ANKHD1	65.024	25.368	12.102
ANKHD1-EIF4EBP3	67.085	26.216	12.275
ANKIB1	16.003	17.988	7.605
ANKK1	2.441	0.092	0.157
ANKLE1	1.274	1.985	0.131
ANKLE2	16.54	5.685	4.168
ANKMY1	7.195	1.565	0.937
ANKMY2	5.75	25.464	22.114
ANKRA2	30.468	7.887	9.153
ANKRD1	0.033	0.0	4404.77
ANKRD10	39.537	41.276	20.227
ANKRD11	58.907	20.953	26.974
ANKRD12	44.053	12.822	7.258
ANKRD13A	22.467	5.048	4.76
ANKRD13B	0.374	84.63	3.689
ANKRD13C	12.617	8.39	4.873
ANKRD13D	22.304	16.669	5.154
ANKRD16	2.72	7.349	2.627
ANKRD17	23.316	25.083	8.683
ANKRD18A	2.547	0.791	2.049
ANKRD18B	0.033	0.097	0.117
ANKRD2	0.0	0.092	59.728
ANKRD20A2	0.033	1.1	1.019
ANKRD20A4	0.048	1.112	0.816
ANKRD22	0.142	0.0	0.043
ANKRD23	12.171	7.002	24.016
ANKRD24	1.799	3.079	0.439
ANKRD26	4.982	4.937	5.18
ANKRD27	12.531	13.329	8.254
ANKRD28	13.196	6.404	1.797
ANKRD29	0.116	1.164	1.997
ANKRD30A	0.0	0.0	0.021
ANKRD30B	0.008	0.128	0.0
ANKRD30BL	0.0	0.302	0.0
ANKRD31	0.846	0.099	0.036
ANKRD33	0.012	0.0	0.006
ANKRD33B	0.129	0.497	0.448
ANKRD34B	0.0	0.4	0.0
ANKRD34C	0.0	0.021	0.013
ANKRD35	0.05	2.788	1.394
ANKRD36	13.841	7.932	1.58
ANKRD36BP1	17.545	0.048	0.028
ANKRD36C	10.651	8.176	1.502
ANKRD37	4.656	14.624	8.825
ANKRD39	8.748	7.772	20.947
ANKRD40	20.031	10.114	19.192
ANKRD42	1.894	0.92	1.803
ANKRD44	46.711	2.047	0.79
ANKRD45	0.03	1.417	0.267
ANKRD46	4.378	11.085	7.145
ANKRD49	33.035	3.879	3.173
ANKRD50	0.308	9.751	3.407
ANKRD52	23.556	13.218	15.323
ANKRD53	0.188	3.67	1.019
ANKRD54	6.154	12.53	5.948
ANKRD55	29.225	0.523	0.046
ANKRD6	1.394	16.457	3.17
ANKRD60	0.0	0.0	0.0
ANKRD61	5.059	0.391	0.118
ANKRD62	0.009	0.0	0.0
ANKRD63	0.0	0.706	1.078
ANKRD65	0.13	0.118	2.939
ANKRD7	0.079	0.13	0.589
ANKRD9	0.675	14.014	36.518
ANKS1A	6.992	7.112	9.511
ANKS1B	0.444	15.734	0.1
ANKS3	6.757	9.359	4.926
ANKS4B	0.015	0.01	0.0
ANKS6	6.85	3.214	1.477
ANKUB1	0.41	5.85	0.195
ANKZF1	54.108	15.482	6.718
ANLN	0.256	8.46	0.444
ANO1	0.0	0.033	4.815
ANO10	3.412	7.993	4.41
ANO2	0.0	0.601	2.785
ANO3	0.0	0.171	0.28
ANO4	0.0	1.155	0.123
ANO5	0.0	1.006	20.135
ANO6	12.041	4.867	11.854
ANO7	0.05	0.427	0.477
ANO7L1	0.128	0.443	2.615
ANO8	12.508	37.342	9.129
ANO9	36.952	0.002	0.169
ANOS1	0.003	21.058	1.492
ANP32A	15.894	35.439	19.845
ANP32B	168.446	123.895	49.631
ANP32D	0.0	0.0	0.109
ANP32E	20.95	22.089	23.949
