gene	sample_1	sample_2	sample_3
RP11-128P17.2	0.00042841579	4.952539e-06	0.000260546
RP11-128P17.1	0.0035222751	0.00125389	0.0008952755
C4orf17	0.09962128	0.006311661	0.002531848
CDH26	0.4054888	0.3023869	0.28759665
EIF3EP2	0.115540175	0.1113841	0.135618555
EIF3EP1	18.34801	18.78235	21.6584
RP11-128P17.4	0.0003977535	0.000271597055	0.0006154291
RNU6-67P	9.1878615	6.7479635	4.2455695
RP11-190A12.7	0.0066744625	0.007871695	0.039937893
CTB-179K24.3	0.64564105	0.433584	0.4180622
RP11-327O17.2	0.001419879635	0.001884864	0.000656987065
SCYL1	22.365095	23.779285	24.973805
RP13-941N14.1	1.2838565	0.74119305	0.7428437
IGLVI-38	5.059165e-05	0.005161927	0.0003561535
NBEAP1	0.21591675	0.14081021	0.10403819
NBEAP3	0.03725900755	0.026766399	0.0278560345
RFPL4AL1	0.0007266045	0.0009777974	0.0002857347
RNU5B-6P	6.704177	6.889995	6.440522
SC22CB-1D7.1	0.00172791075	0.00011208555	0.0003605215
RNU6ATAC39P	5.1829775	12.329565	4.4786775
RP11-666A8.9	0.014411629435	0.013560793	0.0102619184
RP11-388C12.5	0.33860195	0.26314115	0.1831224
ABCE1	24.072735	19.1972	24.492185
RP3-388M5.8	2.0784e-05	0.00017102645	0.0003536515
TEN1-CDK3	0.37691655	0.29252065	0.30848535
AC090283.3	0.00110199971	2.62983e-05	2.805645e-06
RP5-1172N10.4	0.25190145	0.21189085	0.1938162
RP5-1172N10.2	0.029980146	0.053716495	0.0007309365
RP11-555K12.2	0.210995295	0.00828529	0.4169449465
AC010723.2	6.817897	7.0313	3.160257
RP11-416A14.1	0.16141895	0.060836472	0.010024959
RP4-631H13.2	0.00653668115	0.001357989	0.0007780995
MSL3P1	1.417874	2.761872	2.514037
RP4-631H13.6	13.820035	11.40533	9.107314
RP4-631H13.5	0.011553572	1.1685802e-06	0.000286633
RP4-631H13.4	5.365093	2.31151085	1.388755961
AC068858.1	0.02757323	0.017559926	0.035406995
RP11-678L1.1	0.00022793793	4.5682499e-05	2.866111e-05
NCBP2-AS1	0.2520179285	0.1695432545	0.56276095
NCBP2-AS2	8.601716	7.0233685	6.7509095
MDC1-AS1	0.08218784	0.125767425	0.09988365
RP1-197J16.2	0.00040410384	0.00066008	0.000276043195
RP11-549L6.3	0.1271679035	0.00208149365	0.13623217
RP11-549L6.2	0.3059137	0.0020738435	0.0415972415
C15orf26	0.046025095	1.9949135	0.9078462
C15orf27	0.37965865	0.4253155	0.47094605
RP1-197J16.1	0.000323985745	4.17426e-05	0.0009742
GS1-21A4.2	9.2473725	7.730721	0.033827115
RNU6-163P	5.1568575	12.94146	6.346135
RP5-1077H22.1	0.00012937045	0.0027596235	0.000866798
RP5-1077H22.2	8.30745e-07	0.00017425625	1.17300904e-06
ZNF117	6.0403395	5.6356645	5.7443445
ZNF114	2.365649	1.9697895	1.481635
ZNF112	1.8724605	1.3728555	0.8276038
SEZ6L	0.3779212	0.6096784	0.3707414
RP11-30G8.1	0.0730905	0.1323042	0.012539215
AC096582.8	2.337933	2.473183	1.986023
RP11-1094M14.12	0.0002388975	0.002202913	0.00049091125
AC108938.2	0.6576267	0.54828255	0.2610214
AL031653.1	6.765872	9.046761	17.87798
RP11-430L16.1	0.0012143135	2.801335e-05	0.001809549
PRKAR2A	5.6406745	8.2836795	8.1598235
PRKAR2B	2.9327975	3.042244	1.878583
MAGT1	10.0046535	7.8119925	9.0127485
IGKV1OR10-1	0.3047157	3.95202365e-05	0.0033175325
TMEM200B	3.6211455	6.663874	6.0775655
RNU7-104P	7.8104165	4.347215	6.239451
ITGA2B	5.6779885	6.249021	7.824438
FAM58DP	1.140054	1.0366879	0.98819985
RP11-157D23.2	0.000850858	0.0009109025	0.0003028555
RP11-309M7.1	0.0162616345	0.041136155	0.01222201485
KB-1000E4.2	8.8923855e-06	5.560176e-06	0.00026485469
AC009232.2	6.3822275e-06	0.000505434022	1.85728639e-05
RP11-674P19.2	4.9148e-05	0.00475815976	0.00026789165
PHACTR4	8.900142	7.829534	9.508859
AC067852.1	0.91059085	0.6799011	0.8381717
PHACTR1	2.216815	2.4853865	2.196367
OR2K2	0.001604041	0.0010081035	0.0020441525
PHACTR3	0.0112632715	0.04614058	0.0148714405
PHACTR2	3.3681195	5.3421935	7.0869185
KRTAP2-3	0.0002396605	5.08438e-05	0.000221055
KRTAP2-2	0.002450740655	0.0042670385	0.0025229065
KRTAP2-1	0.0017757675	0.006486639	0.014997494
RP11-680G24.5	0.27543815	0.48789025	0.482312
RP11-680G24.4	3.679432	3.7633545	2.6489335
KRTAP2-4	0.0005180755	0.0009457185	0.0006182105
RP4-724E16.2	0.1332101	0.5453207	0.7116074
ENY2	85.55137	58.07423	52.429985
CASP5	0.0047683175	0.003481307	0.0059974395
RP11-776A13.3	0.00100456005	0.003318559	0.002208107
RP11-776A13.2	0.000879777615	0.002034116	0.0024935938615
RP11-776A13.1	0.10567875	0.137820541	0.088974218
MIR4704	13.082585	7.6922845	9.8486455
MIR4705	13.06307	9.2112055	10.815935
MIR4706	18.31842	12.56411	23.456105
ITGA7	18.26888	4.1869615	4.9602275
MIR4700	20.051425	21.239315	21.69449
MIR4701	21.408105	24.83379	8.694777
RP3-523C21.2	0.05686808	0.146281081	0.079993415
MIR4703	6.479623	7.550418	5.2842495
ZNF736P3Y	4.334023e-05	0.01008152	0.0077952974
RP11-3L10.2	1.655479e-05	0.001059866	0.0006053002042
RP11-3L10.3	18.345395	20.164735	17.59858
RNU7-36P	12.51787	10.98063	7.138751
RP11-3L10.1	1.397376	1.2508915	1.9028
RP11-713D19.1	0.088546741	0.0832448695	0.0020937685
SBF1P1	0.12488585	0.103426785	0.16116145
RP11-351I21.7	9.7568145e-06	0.03592196	9.6172285e-05
RP11-351I21.6	0.0001090211	0.020537968	0.0006518485
RP11-542K23.10	0.02867988	0.00230469565	0.005850248
AL035681.1	29.95404	11.362675	6.898058
VMP1	54.189595	50.43613	56.314575
PPIAP9	53.02052	46.60257	34.56046
PPIAP6	240.46725	187.67055	162.4663
PPIAP7	26.154825	22.824535	18.47365
PPIAP1	132.87015	107.39777	89.126665
PPIAP2	33.222555	27.19342	21.85136
PPIAP3	63.02268	56.260845	44.460665
AC105402.1	18.73441	13.4289	20.34772
AC002551.1	0.0011710984	0.0487324645	4.240567e-05
NR1D1	0.52043195	1.5039485	4.7793565
NR1D2	5.5842885	3.7714565	5.9407725
RNU6-471P	8.346892	15.95636	13.412135
RNU6-356P	4.613894	7.5082035	4.720951
AC010243.1	0.097246782	0.005338537	0.00047707105
RP11-380D23.2	2.8358165	5.0923155	1.410245
RP11-380D23.1	0.328806	0.92738245	0.089772545
OGFR	7.020045	5.4157	9.147077
RPS26P43	9.676363	9.6282855	10.443275
RP11-335O13.8	0.000524257	2.18223e-05	0.00195000955
RPS26P49	0.006194748	0.0072618065	0.003188519
RP11-335O13.7	0.003957395	9.4951e-05	0.00495838325
AL591415.1	7.9061215	7.7035495	8.012074
CTD-2620I22.1	0.2732603	0.36897235	0.18380535
RP11-816J6.3	0.002262394	0.11217691	0.01918111
PTCH2	0.48279055	0.1458629	0.10802245
PTCH1	73.952925	17.754425	15.549515
AOAH-IT1	8.57812e-05	0.0011844260522	0.00022712527
TIMM44	15.24192	14.67214	15.416535
RAD9B	0.2293715	0.31961385	0.64032285
RAD9A	7.635971	6.821856	6.655677
ERGIC2	36.602855	35.82742	43.68176
ERGIC3	141.81385	174.6161	145.6431
VN2R10P	0.0013900835	0.0013996945	0.00025270865
ERGIC1	22.496505	27.240515	29.71741
MIR3165	13.47973	9.227268	6.0342405
RP11-291L19.1	281.9065	204.24535	197.35695
MIR3167	9.8432875	17.125475	10.681845
MIR3166	10.701329	14.729415	12.38002
MIR3161	13.98325	11.97237	19.032885
MIR3163	15.30889	16.715845	10.067185
MIR3162	9.552317	10.6493555	2.9397525
B3GAT3	9.3674635	7.954792	7.3064035
B3GAT2	0.061143735	0.087721615	0.08800742
B3GAT1	1.9411875	0.3495961	0.58662845
MIR3169	1.53038075	1.94434785	3.3697355
MIR3168	0.647467791	0.278302175	0.370032275
RP11-150D5.2	4.053255e-05	0.0012854236768	0.00010497635
RNU6-238P	0.1360946885	0.451368525	0.0711373915
CALM2	322.14035	316.17635	201.19465
CALM3	229.5183	192.69785	219.6985
SPG21	25.05357	27.25007	27.966725
SPG20	32.038795	36.258575	28.152905
RP11-357N13.1	0.00131454145	1.2183545e-05	0.000145187045
GSDMA	0.05333363	0.071059355	0.18861965
GSDMB	8.0843505	17.151315	18.75268
GSDMC	0.094773515	0.051489665	0.18046465
GSDMD	6.5904085	19.98393	15.181145
UPK1A	0.21367125	0.45407175	0.9174049
UPK1B	0.067208815	0.267301	0.1182044
AC099522.2	11.17756	13.73905	13.82171
DLGAP2	0.021620226	0.007222846	0.0090222245
DLGAP3	0.59062355	0.30978725	0.45770085
DLGAP1	1.471941	1.31373685	1.1287202
AE000658.27	14.77695	8.8108435	6.9769635
DLGAP4	33.437895	66.460645	105.77855
DLGAP5	23.538565	11.488295	24.66931
KB-1507C5.4	0.24886865	0.00051812024	0.0364400033
RP11-428C19.4	0.0005408791	0.1270863735	0.001833477
RP11-554D14.1	0.000839632	0.000639032	0.0015207335
RP11-554D14.7	0.002234555	0.01408810575	0.0026522478
RP11-554D14.6	0.0104393865	0.007994415	0.0280742915
KB-1507C5.2	19.549838	15.26541	7.402647
KB-1507C5.3	0.001566656	0.100344667	0.071003022
RP11-708H21.4	0.3865739	0.35338135	0.31142705
OIP5	7.1116565	3.3930165	4.2997445
MIR502	14.49315	9.7720425	11.174595
RNU1-134P	15.013735	13.523625	12.14983
AC004160.4	0.0590081415	0.1040016385	0.12481638972
MIR501	13.43891	13.45042	10.537725
FAM169A	1.7013865	2.4216855	1.6526705
AL603650.1	6.406088	21.807725	11.601545
MIR507	11.427385	11.411795	5.89203
AL603650.3	17.098625	19.255805	13.89832
AL603650.2	12.739795	12.997425	11.050995
AL603650.4	10.037837	8.375471	15.06212
RP11-1081L13.4	0.2088079	0.66200275	1.00225435
PTPN18	7.855128	8.400739	10.969585
LRRFIP2	14.44114	15.24907	18.515435
PTPN13	47.524185	9.404313	12.31437
PTPN12	47.617275	59.807555	69.90235
PTPN11	12.43595	11.07999	12.950505
RPL32P35	0.0005757585	0.005822449	2.3976355e-05
RP11-1028N23.3	8.25963e-07	0.0019421835	0.00139620345
RPL32P33	3.55978595e-05	3.0207883e-05	0.0618957715
RNU6-960P	3.2353341	2.99207	1.3755581
PTPN14	3.739965	2.5222685	3.612275
AC090425.1	0.1685993	0.06904791	0.1371529
AC004156.3	0.0481304675	0.043352935	0.10826075
LYAR	8.3554875	9.07053	6.9825125
KB-1043D8.8	0.0001527855	0.0039160721	0.001175817
RP11-716O23.1	0.000814892535	0.001419598	0.00064162
RP11-9L18.2	15.35583	12.55156	14.22641
AC002465.2	0.0044371962	0.002393873	0.00131877145
AC138035.1	1.153953	0.9973277	0.9182662
AC138035.2	72.905665	93.54533	128.5683
RP11-151H2.3	204.07225	243.0611	258.8366
RP11-123C21.2	0.0008497925	0.0008230725795	0.000200716
RP11-123C21.1	3.300432	1.4642605	1.903583
AC008060.8	0.0029922335	0.0016454825	0.00016211175
TFIP11	11.927125	10.824605	11.904315
C2orf81	4.9427505	5.1075325	3.70006005
C2orf80	0.05761451	0.075009905	0.12113531
C2orf83	0.18220375	0.2096864	0.30190185
C2orf82	0.977835	2.4355465	2.8410255
RP11-192H6.2	0.0007455475	7.52239e-06	0.0021083875
SNORA84	20.66151	21.590595	16.629095
FAM210CP	0.44197675	0.97560345	1.199086
C2orf88	1.04857545	8.3080495	10.46997
RP11-415A20.1	0.0045949245	8.132412e-05	8.62324e-05
RNU6-417P	7.3267295	10.766577	6.1896115
CTD-2230M5.1	8.689775	10.167337	8.4622385
CTD-2230M5.3	0.23619005	0.2713882	0.42124895
MSMP	0.34997755	0.2836023	0.24850895
RP11-556H2.3	0.002122571	0.0686691695	0.00181950825
MZB1	0.406585	0.4154776	0.6192963
TRAPPC6B	4.639206	4.6625305	6.69383
RNU4-56P	9.349273	6.565807	6.9146405
CDK3	4.9618955	4.208649	4.438632
HLA-DQB1	0.92915895	2.1958435	2.65592
MSMB	0.17231642	0.27620465	0.457467
HLA-DQB3	0.009039456	0.0061031805	0.00106150255
HLA-DQB2	0.155351365	0.4329149	0.28523855
BX088651.1	0.16398905	0.2460269	0.23043775
GK-IT1	0.0080358925	0.0071882665	0.118903014
RP11-51L5.7	2.381281	3.4502635	2.935044
RP11-51L5.5	2.932886	3.8520685	4.7820745
RP11-51L5.4	0.2700791	0.2767361	0.04739396
RP11-51L5.3	1.928727	2.1430905	2.0540265
RP11-51L5.2	0.3189035798	0.0006257495	0.000128348695
FOXS1	0.07824804	0.6415722	0.43959905
IQCF5-AS1	2.3108315e-05	3.25899e-05	0.0006804785
AP001324.1	0.000840167	0.000232821	0.030424643843
CTC-360P9.4	0.0007822154	0.008062959	0.0310093435
CTC-360P9.5	0.0001167508	3.5778275e-05	0.0006855605
CTC-360P9.2	0.002832889655	0.000599436	0.0002116835
CTC-360P9.3	0.039902035	0.03138008	0.024852645
CTC-360P9.1	0.001169382	0.000938148235	7.4176725e-05
CTD-2267G17.2	2.3164025e-05	0.0038415514615	4.9668305e-05
TUBB3P1	0.6764499	0.4358124	0.8358426
AC008060.5	0.00080845	0.001249729	1.343582785e-05
RP11-411H5.1	5.99889e-05	3.8453135e-06	5.1355802e-06
RN7SL569P	0.003436509	0.00939406	0.0919629805
AL357060.1	11.834275	13.686925	15.402475
RP4-706G24.1	6.50404e-06	0.000191277	0.00210123
NDUFA3P3	0.010595076	0.014747604	0.008687847
CAMKK2	4.9008835	5.1564715	4.7016305
CAMKK1	0.4090375	2.0363105	2.285871
RP11-255L13.1	29.975285	29.51776	26.024235
NDUFA3P6	0.02725848	0.0072975175	0.004287944
NDUFA3P4	0.54785978	0.511772245	0.017280011
PPP1R1AP2	0.000798238633	4.7408405e-06	0.00096649405
RP11-409K20.6	2.1746705e-05	0.0097971496	0.0049408205
LINC00158	0.007369935	0.0087736975	0.0144276425
RNU6-938P	7.02593	6.553894	7.208526
RP11-155G15.2	0.0017782825	0.0014794285	0.027375485
U47924.27	1.43495405	1.14724155	0.8956713
TTTY25P	0.00050267392	6.447479e-07	9.50128e-07
CHMP3	14.146455	24.53603	17.255125
RPL36AL	151.7599	222.6691	243.43815
RP11-128B16.3	0.00051367317	0.00022647825	8.44495e-05
CHMP7	18.579605	16.60082	17.81259
CHMP6	9.737098	10.232739	8.4265215
CHMP5	25.339375	30.17125	40.657475
FAM86HP	4.3269985	4.0526575	3.2232455
OR52N4	0.0009827625	0.0009238292	0.0125959233
OR52N5	0.0009439425	0.000676348	0.0003792025
OR52N2	0.039429605	0.021119355	0.01551865665
AC005757.6	0.009423132	0.004705959	0.18268705
MIR4310	8.677325	10.943	13.6906
OR52N1	0.000866174	0.0016910395	0.06565
NCLP2	0.07557969	0.04890243	0.0073512905
LY6G6C	0.22991005	0.3191074	0.47045505
HOXA13	0.093755425	1.2659285	0.02355207
LY6G6E	0.256837985	0.40599545	0.28840595
HOXA11	0.00030381105	0.63673455	0.010009886
HOXA10	0.021094985	1.10598405	0.0133362555
RN7SL320P	0.0029363955	0.00039218	0.000927979
EZH2P1	3.59201	1.331278	0.86142085
LIPT1P1	0.00018295167	5.214845e-06	8.084885e-06
COX4I1P1	0.003198178	0.0021416394	0.000633893315
COX4I1P2	0.21744324	1.05354865	0.6361959
GALNTL5	0.003939717	0.03538953	0.0066706415
RPS4XP2	18.352625	22.94231	23.22522
GALNTL6	0.07766864	0.046807745	0.045624285
RP11-338E21.2	0.000154843	0.0034295815	0.00121196828
RP11-338E21.3	0.1373353	0.47704635	0.2319722745
RP13-258O15.1	301.43735	450.4518	475.0591
RP11-76N22.2	0.6860387	1.9583455	2.217871
RNU6-1092P	6.84211	12.31535	15.178675
RP11-76N22.1	0.0029946037635	0.004414483661	0.0003475303305
RP11-442O18.1	0.000405843	0.00020705284	0.000551387
RP11-442O18.2	0.00019221205	0.0013058675	0.00010160495
HNRNPCP2	286.4747	245.88875	354.10485
RP11-756H6.1	0.194604324	0.05587169	0.3441028
SLC25A24P1	0.005808575	0.042700857	0.004075029
TDH	0.3326625	0.234972	0.31023685
SLC25A24P2	0.0008238565	1.4670225e-05	0.00050137549
CTD-2547G23.2	0.1448528	0.14269765	0.078337015
RP11-553E24.2	0.012784501	0.02829145	0.0111627345
KRTAP11-1	0.001974134255	0.0009806345	0.00088201355
TDG	14.64126	8.3520035	8.4649155
HN1	120.31375	89.238055	98.15894
RP11-527N22.1	3.3583755e-06	0.000206193	0.00028427116
RNU6-1329P	11.19163	9.660286	7.7827225
AC010874.1	5.1902055	3.8300075	3.1338575
RP11-471G13.5	0.0004264398	0.001344184	0.002687375
RP11-10C24.3	0.2884188	0.28461095	0.6450083
LRRC27	5.092871	8.6480945	4.9686465
LRRC26	0.0134891065	0.001459466	0.0030271865
LRRC25	0.03183654	0.0835047	0.24464115
LRRC24	0.61374855	0.14472138	0.06671918
LRRC23	2.8103225	5.130503	5.806736
MPDU1	30.167105	22.952375	23.004865
LRRC20	2.4830955	1.4270395	1.266227
MTHFD2P4	0.00013468677	0.000691172	0.0001717248
AC092291.2	0.254583735	0.073274725	0.08413464
